title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
The Dark Knight Rises,2012,34073,the-dark-knight-rises-2012,tt1345836,49026,,,,1,2026-01-24T12:37:00.000Z
Gravity,2013,34093,gravity-2013,tt1454468,49047,,,,1,2026-01-24T13:07:00.000Z
The Hobbit: An Unexpected Journey,2012,34097,the-hobbit-an-unexpected-journey-2012,tt0903624,49051,,,,1,2026-01-24T13:06:00.000Z
"Crazy, Stupid, Love.",2011,35436,crazy-stupid-love-2011,tt1570728,50646,,,,1,2026-01-24T14:52:00.000Z
The Hobbit: The Desolation of Smaug,2013,40808,the-hobbit-the-desolation-of-smaug-2013,tt1170358,57158,,,,1,2026-01-24T14:54:00.000Z
Midnight in Paris,2011,42597,midnight-in-paris-2011,tt1605783,59436,,,,1,2026-02-04T19:06:00.000Z
Looper,2012,42897,looper-2012,tt1276104,59967,,,,1,2026-01-24T13:07:00.000Z
21 Jump Street,2012,46734,21-jump-street-2012,tt1232829,64688,,,,1,2026-01-24T13:08:00.000Z
Drive,2011,46736,drive-2011,tt0780504,64690,,,,1,2026-01-28T14:54:00.000Z
Django Unchained,2012,50131,django-unchained-2012,tt1853728,68718,,,,1,2026-01-24T12:06:00.000Z
Now You See Me,2013,55786,now-you-see-me-2013,tt1670345,75656,,,,1,2026-01-24T13:06:00.000Z
Mad Max: Fury Road,2015,56360,mad-max-fury-road-2015,tt1392190,76341,,,,1,2026-01-24T12:07:00.000Z
The Dictator,2012,56495,the-dictator-2012,tt1645170,76493,,,,1,2026-01-24T14:54:00.000Z
The Intouchables,2011,57181,the-intouchables-2011,tt1675434,77338,,,,1,2026-01-24T13:08:00.000Z
Magic Mike,2012,57642,magic-mike-2012,tt1915581,77930,,,,1,2025-06-30T20:56:00.000Z
Silver Linings Playbook,2012,61867,silver-linings-playbook-2012,tt1045658,82693,,,,1,2026-02-04T19:07:00.000Z
Rush,2013,70421,rush-2013,tt1979320,96721,,,,1,2026-02-04T19:08:00.000Z
The Hunger Games: Catching Fire,2013,72719,the-hunger-games-catching-fire-2013,tt1951264,101299,,,,1,2026-01-24T14:54:00.000Z
The Wolf of Wall Street,2013,75735,the-wolf-of-wall-street-2013,tt0993846,106646,,,,1,2026-01-24T12:07:00.000Z
Guardians of the Galaxy,2014,82405,guardians-of-the-galaxy-2014,tt2015381,118340,,,,1,2026-01-24T13:06:00.000Z
The Grand Budapest Hotel,2014,83614,the-grand-budapest-hotel-2014,tt2278388,120467,,,,1,2026-01-24T12:14:00.000Z
About Time,2013,84894,about-time-2013,tt2194499,122906,,,,1,2026-01-24T12:07:00.000Z
The Hobbit: The Battle of the Five Armies,2014,84900,the-hobbit-the-battle-of-the-five-armies-2014,tt2310332,122917,,,,1,2026-01-24T14:52:00.000Z
X-Men: Days of Future Past,2014,87348,x-men-days-of-future-past-2014,tt1877832,127585,,,,1,2026-01-24T13:06:00.000Z
The Hunger Games: Mockingjay - Part 1,2014,89542,the-hunger-games-mockingjay-part-1-2014,tt1951265,131631,,,,1,2026-01-24T14:54:00.000Z
The Hunger Games: Mockingjay - Part 2,2015,89543,the-hunger-games-mockingjay-part-2-2015,tt1951266,131634,,,,1,2026-01-24T14:52:00.000Z
Before Midnight,2013,89883,before-midnight-2013,tt2209418,132344,,,,1,2026-01-24T12:28:00.000Z
Dallas Buyers Club,2013,99886,dallas-buyers-club-2013,tt0790636,152532,,,,1,2026-02-11T18:27:00.000Z
Her,2013,99919,her-2013,tt1798709,152601,,,,1,2026-01-24T12:08:00.000Z
Interstellar,2014,102156,interstellar-2014,tt0816692,157336,,,,1,2026-01-24T12:28:00.000Z
