title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
Dora and the Lost City of Gold,2019,346883,dora-and-the-lost-city-of-gold-2019,tt7547410,499701,6,3.0,2026-03-26T18:49:17.000Z,,
The Housemaid,2025,1117195,the-housemaid-2025,tt27543632,1368166,4,2.0,2026-03-26T18:49:01.000Z,,
Marty Supreme,2025,1076665,marty-supreme-2025,tt32916440,1317288,10,5.0,2026-03-19T16:23:23.000Z,,
City of God,2002,476,city-of-god-2002,tt0317248,598,8,4.0,2026-02-28T00:04:26.000Z,,
10 Things I Hate About You,1999,2885,10-things-i-hate-about-you-1999,tt0147800,4951,7,3.5,2026-02-11T18:29:08.000Z,,
Dallas Buyers Club,2013,99886,dallas-buyers-club-2013,tt0790636,152532,7,3.5,2026-02-11T18:27:20.000Z,,
American Beauty,1999,10,american-beauty-1999,tt0169547,14,7,3.5,2026-02-11T18:26:37.000Z,,
The Bad Guys,2022,469856,the-bad-guys-2022,tt8115900,629542,6,3.0,2026-02-11T18:26:16.000Z,,
The Curious Case of Benjamin Button,2008,2857,the-curious-case-of-benjamin-button-2008,tt0421715,4922,7,3.5,2026-02-05T13:52:06.000Z,,
Edward Scissorhands,1990,127,edward-scissorhands-1990,tt0099487,162,8,4.0,2026-02-05T13:51:30.000Z,,
The Empire Strikes Back,1980,1266,the-empire-strikes-back-1980,tt0080684,1891,6,3.0,2026-02-05T13:49:06.000Z,,
My Fault,2023,812422,my-fault-2023,tt21909764,1010581,3,1.5,2026-02-05T13:43:56.000Z,,
Coraline,2009,8984,coraline-2009,tt0327597,14836,7,3.5,2026-02-05T13:43:49.000Z,,
Nightcrawler,2014,147742,nightcrawler-2014,tt2872718,242582,8,4.0,2026-02-04T19:09:05.000Z,,
The Count of Monte Cristo,2024,872064,the-count-of-monte-cristo-2024,tt26446278,1084736,9,4.5,2026-02-04T19:08:43.000Z,,
Rush,2013,70421,rush-2013,tt1979320,96721,8,4.0,2026-02-04T19:08:14.000Z,,
Silver Linings Playbook,2012,61867,silver-linings-playbook-2012,tt1045658,82693,6,3.0,2026-02-04T19:07:41.000Z,,
Palm Springs,2020,439986,palm-springs-2020,tt9484998,587792,8,4.0,2026-02-04T19:07:34.000Z,,
Fear and Loathing in Las Vegas,1998,1254,fear-and-loathing-in-las-vegas-1998,tt0120669,1878,8,4.0,2026-02-04T19:07:18.000Z,,
All About My Mother,1999,68,all-about-my-mother-1999,tt0185125,99,6,3.0,2026-02-04T19:07:08.000Z,,
Midnight in Paris,2011,42597,midnight-in-paris-2011,tt1605783,59436,7,3.5,2026-02-04T19:06:33.000Z,,
Deadpool,2016,190430,deadpool-2016,tt1431045,293660,7,3.5,2026-02-04T19:06:29.000Z,,
Drive,2011,46736,drive-2011,tt0780504,64690,6,3.0,2026-01-28T14:54:09.000Z,,
Another Round,2020,429695,another-round-2020,tt10288566,580175,6,3.0,2026-01-28T14:53:50.000Z,,
Downfall,2004,489,downfall-2004,tt0363163,613,7,3.5,2026-01-24T17:27:37.000Z,,
Once Upon a Time... in Hollywood,2019,313464,once-upon-a-time-in-hollywood-2019,tt7131622,466272,9,4.5,2026-01-24T17:27:23.000Z,,
